"","time","sim.num","sim.num.g2","s.num","i.num","num","s.num.g2","i.num.g2","num.g2","si.flow","si.flow.g2"
"25",25,250,250,117.888888888889,132.111111111111,250,74.2222222222222,175.777777777778,250,10.3333333333333,11.5555555555556
"26",26,250,250,107.888888888889,142.111111111111,250,62.1111111111111,187.888888888889,250,10,12.1111111111111
"27",27,250,250,97.8888888888889,152.111111111111,250,52.6666666666667,197.333333333333,250,10,9.44444444444444
"28",28,250,250,89,161,250,45.1111111111111,204.888888888889,250,8.88888888888889,7.55555555555556
"29",29,250,250,80.2222222222222,169.777777777778,250,37.2222222222222,212.777777777778,250,8.77777777777778,7.88888888888889
"30",30,250,250,73,177,250,29.7777777777778,220.222222222222,250,7.22222222222222,7.44444444444444
"31",31,250,250,64.8888888888889,185.111111111111,250,24,226,250,8.11111111111111,5.77777777777778
"32",32,250,250,57.2222222222222,192.777777777778,250,18.8888888888889,231.111111111111,250,7.66666666666667,5.11111111111111
"33",33,250,250,48.4444444444444,201.555555555556,250,16.2222222222222,233.777777777778,250,8.77777777777778,2.66666666666667
"34",34,250,250,41.8888888888889,208.111111111111,250,12.8888888888889,237.111111111111,250,6.55555555555556,3.33333333333333
"35",35,250,250,37.5555555555556,212.444444444444,250,10.6666666666667,239.333333333333,250,4.33333333333333,2.22222222222222
"36",36,250,250,33.2222222222222,216.777777777778,250,8.66666666666667,241.333333333333,250,4.33333333333333,2
"37",37,250,250,29.1111111111111,220.888888888889,250,6.88888888888889,243.111111111111,250,4.11111111111111,1.77777777777778
"38",38,250,250,25,225,250,5.44444444444445,244.555555555556,250,4.11111111111111,1.44444444444444
"39",39,250,250,22,228,250,4.22222222222222,245.777777777778,250,3,1.22222222222222
"40",40,250,250,18.1111111111111,231.888888888889,250,3,247,250,3.88888888888889,1.22222222222222
"41",41,250,250,16,234,250,2.77777777777778,247.222222222222,250,2.11111111111111,0.222222222222222
"42",42,250,250,13.6666666666667,236.333333333333,250,1.88888888888889,248.111111111111,250,2.33333333333333,0.888888888888889
"43",43,250,250,11.7777777777778,238.222222222222,250,1.33333333333333,248.666666666667,250,1.88888888888889,0.555555555555555
"44",44,250,250,10.5555555555556,239.444444444444,250,1,249,250,1.22222222222222,0.333333333333333
"45",45,250,250,8.77777777777778,241.222222222222,250,0.777777777777778,249.222222222222,250,1.77777777777778,0.222222222222222
"46",46,250,250,7.77777777777778,242.222222222222,250,0.666666666666667,249.333333333333,250,1,0.111111111111111
"47",47,250,250,6.77777777777778,243.222222222222,250,0.555555555555555,249.444444444444,250,1,0.111111111111111
"48",48,250,250,5.55555555555556,244.444444444444,250,0.555555555555555,249.444444444444,250,1.22222222222222,0
"49",49,250,250,5.11111111111111,244.888888888889,250,0.444444444444444,249.555555555556,250,0.444444444444444,0.111111111111111
"50",50,250,250,4.55555555555556,245.444444444444,250,0.444444444444444,249.555555555556,250,0.555555555555555,0
"51",51,250,250,3.77777777777778,246.222222222222,250,0.444444444444444,249.555555555556,250,0.777777777777778,0
"52",52,250,250,3.33333333333333,246.666666666667,250,0.333333333333333,249.666666666667,250,0.444444444444444,0.111111111111111
"53",53,250,250,2.44444444444444,247.555555555556,250,0.333333333333333,249.666666666667,250,0.888888888888889,0
"54",54,250,250,2,248,250,0.222222222222222,249.777777777778,250,0.444444444444444,0.111111111111111
"55",55,250,250,1.77777777777778,248.222222222222,250,0.222222222222222,249.777777777778,250,0.222222222222222,0
"56",56,250,250,1.44444444444444,248.555555555556,250,0.222222222222222,249.777777777778,250,0.333333333333333,0
"57",57,250,250,1.44444444444444,248.555555555556,250,0.111111111111111,249.888888888889,250,0,0.111111111111111
"58",58,250,250,0.888888888888889,249.111111111111,250,0.111111111111111,249.888888888889,250,0.555555555555555,0
"59",59,250,250,0.777777777777778,249.222222222222,250,0.111111111111111,249.888888888889,250,0.111111111111111,0
"60",60,250,250,0.666666666666667,249.333333333333,250,0,250,250,0.111111111111111,0.111111111111111
"61",61,250,250,0.333333333333333,249.666666666667,250,0,250,250,0.333333333333333,0
"62",62,250,250,0.222222222222222,249.777777777778,250,0,250,250,0.111111111111111,0
"63",63,250,250,0.222222222222222,249.777777777778,250,0,250,250,0,0
"64",64,250,250,0.111111111111111,249.888888888889,250,0,250,250,0.111111111111111,0
"65",65,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"66",66,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"67",67,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"68",68,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"69",69,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"70",70,250,250,0.111111111111111,249.888888888889,250,0,250,250,0,0
"71",71,250,250,0,250,250,0,250,250,0.111111111111111,0
"72",72,250,250,0,250,250,0,250,250,0,0
"73",73,250,250,0,250,250,0,250,250,0,0
"74",74,250,250,0,250,250,0,250,250,0,0
"75",75,250,250,0,250,250,0,250,250,0,0
"76",76,250,250,0,250,250,0,250,250,0,0
"77",77,250,250,0,250,250,0,250,250,0,0
"78",78,250,250,0,250,250,0,250,250,0,0
"79",79,250,250,0,250,250,0,250,250,0,0
"80",80,250,250,0,250,250,0,250,250,0,0
"81",81,250,250,0,250,250,0,250,250,0,0
"82",82,250,250,0,250,250,0,250,250,0,0
"83",83,250,250,0,250,250,0,250,250,0,0
"84",84,250,250,0,250,250,0,250,250,0,0
"85",85,250,250,0,250,250,0,250,250,0,0
"86",86,250,250,0,250,250,0,250,250,0,0
"87",87,250,250,0,250,250,0,250,250,0,0
"88",88,250,250,0,250,250,0,250,250,0,0
"89",89,250,250,0,250,250,0,250,250,0,0
"90",90,250,250,0,250,250,0,250,250,0,0
"91",91,250,250,0,250,250,0,250,250,0,0
"92",92,250,250,0,250,250,0,250,250,0,0
"93",93,250,250,0,250,250,0,250,250,0,0
"94",94,250,250,0,250,250,0,250,250,0,0
"95",95,250,250,0,250,250,0,250,250,0,0
"96",96,250,250,0,250,250,0,250,250,0,0
"97",97,250,250,0,250,250,0,250,250,0,0
"98",98,250,250,0,250,250,0,250,250,0,0
"99",99,250,250,0,250,250,0,250,250,0,0
"100",100,250,250,0,250,250,0,250,250,0,0
