"","time","sim.num","s.num","i.num","r.num","num","si.flow","ir.flow"
"23",23,500,417.666666666667,76.2222222222222,6.11111111111111,500,9.22222222222222,0.888888888888889
"24",24,500,407.222222222222,85.7777777777778,7,500,10.4444444444444,0.888888888888889
"25",25,500,395.666666666667,96,8.33333333333333,500,11.5555555555556,1.33333333333333
"26",26,500,382.888888888889,107.777777777778,9.33333333333333,500,12.7777777777778,1
"27",27,500,368.333333333333,121.111111111111,10.5555555555556,500,14.5555555555556,1.22222222222222
"28",28,500,355.111111111111,133.333333333333,11.5555555555556,500,13.2222222222222,1
"29",29,500,339.111111111111,146.888888888889,14,500,16,2.44444444444444
"30",30,500,323.666666666667,159.888888888889,16.4444444444444,500,15.4444444444444,2.44444444444444
"31",31,500,310.444444444445,171.222222222222,18.3333333333333,500,13.2222222222222,1.88888888888889
"32",32,500,293.444444444444,186.333333333333,20.2222222222222,500,17,1.88888888888889
"33",33,500,274.555555555556,203.333333333333,22.1111111111111,500,18.8888888888889,1.88888888888889
"34",34,500,258.888888888889,216.555555555556,24.5555555555556,500,15.6666666666667,2.44444444444444
"35",35,500,244.111111111111,228.555555555556,27.3333333333333,500,14.7777777777778,2.77777777777778
"36",36,500,226.666666666667,244.333333333333,29,500,17.4444444444444,1.66666666666667
"37",37,500,210.888888888889,257.333333333333,31.7777777777778,500,15.7777777777778,2.77777777777778
"38",38,500,194.888888888889,270.111111111111,35,500,16,3.22222222222222
"39",39,500,180.888888888889,280.888888888889,38.2222222222222,500,14,3.22222222222222
"40",40,500,167.666666666667,291.555555555555,40.7777777777778,500,13.2222222222222,2.55555555555556
"41",41,500,153.111111111111,302.555555555556,44.3333333333333,500,14.5555555555556,3.55555555555556
"42",42,500,138.888888888889,314.333333333333,46.7777777777778,500,14.2222222222222,2.44444444444444
"43",43,500,127.333333333333,322.888888888889,49.7777777777778,500,11.5555555555556,3
"44",44,500,115.666666666667,331.555555555556,52.7777777777778,500,11.6666666666667,3
"45",45,500,105.888888888889,338,56.1111111111111,500,9.77777777777778,3.33333333333333
"46",46,500,97.7777777777778,342.222222222222,60,500,8.11111111111111,3.88888888888889
"47",47,500,88.3333333333333,348.333333333333,63.3333333333333,500,9.44444444444444,3.33333333333333
"48",48,500,79.1111111111111,353.777777777778,67.1111111111111,500,9.22222222222222,3.77777777777778
"49",49,500,70.3333333333333,358.333333333333,71.3333333333333,500,8.77777777777778,4.22222222222222
"50",50,500,62.1111111111111,362.444444444444,75.4444444444445,500,8.22222222222222,4.11111111111111
"51",51,500,54.7777777777778,366.333333333333,78.8888888888889,500,7.33333333333333,3.44444444444444
"52",52,500,48,369.666666666667,82.3333333333333,500,6.77777777777778,3.44444444444444
"53",53,500,44.2222222222222,370.777777777778,85,500,3.77777777777778,2.66666666666667
"54",54,500,38.5555555555556,373.222222222222,88.2222222222222,500,5.66666666666667,3.22222222222222
"55",55,500,35.3333333333333,372.333333333333,92.3333333333333,500,3.22222222222222,4.11111111111111
"56",56,500,31.5555555555556,372,96.4444444444445,500,3.77777777777778,4.11111111111111
"57",57,500,27.7777777777778,371.333333333333,100.888888888889,500,3.77777777777778,4.44444444444444
"58",58,500,25.4444444444444,370.777777777778,103.777777777778,500,2.33333333333333,2.88888888888889
"59",59,500,23.3333333333333,368.888888888889,107.777777777778,500,2.11111111111111,4
"60",60,500,21.3333333333333,366,112.666666666667,500,2,4.88888888888889
"61",61,500,19.1111111111111,365.222222222222,115.666666666667,500,2.22222222222222,3
"62",62,500,17.4444444444444,362.777777777778,119.777777777778,500,1.66666666666667,4.11111111111111
"63",63,500,15.1111111111111,360.111111111111,124.777777777778,500,2.33333333333333,5
"64",64,500,13.5555555555556,358,128.444444444444,500,1.55555555555556,3.66666666666667
"65",65,500,11.8888888888889,356.444444444444,131.666666666667,500,1.66666666666667,3.22222222222222
"66",66,500,10.6666666666667,354.555555555556,134.777777777778,500,1.22222222222222,3.11111111111111
"67",67,500,9.88888888888889,352.222222222222,137.888888888889,500,0.777777777777778,3.11111111111111
"68",68,500,8.11111111111111,351.222222222222,140.666666666667,500,1.77777777777778,2.77777777777778
"69",69,500,7.33333333333333,347.888888888889,144.777777777778,500,0.777777777777778,4.11111111111111
"70",70,500,6.33333333333333,344.111111111111,149.555555555556,500,1,4.77777777777778
"71",71,500,5.77777777777778,341.333333333333,152.888888888889,500,0.555555555555555,3.33333333333333
"72",72,500,5.11111111111111,339.555555555556,155.333333333333,500,0.666666666666667,2.44444444444444
"73",73,500,4.44444444444444,336.777777777778,158.777777777778,500,0.666666666666667,3.44444444444444
