"","time","sim.num","sim.num.g2","s.num","i.num","r.num","num","s.num.g2","i.num.g2","r.num.g2","num.g2","si.flow","si.flow.g2","ir.flow","ir.flow.g2"
"22",22,250,250,188.888888888889,44.2222222222222,16.8888888888889,250,167.666666666667,76.8888888888889,5.44444444444444,250,7.11111111111111,9,2.11111111111111,0.666666666666667
"23",23,250,250,180.111111111111,51.1111111111111,18.7777777777778,250,157.111111111111,86.7777777777778,6.11111111111111,250,8.77777777777778,10.5555555555556,1.88888888888889,0.666666666666667
"24",24,250,250,172.111111111111,56.5555555555556,21.3333333333333,250,145.444444444444,97.4444444444445,7.11111111111111,250,8,11.6666666666667,2.55555555555556,1
"25",25,250,250,163.666666666667,61.1111111111111,25.2222222222222,250,133.444444444444,108.333333333333,8.22222222222222,250,8.44444444444444,12,3.88888888888889,1.11111111111111
"26",26,250,250,155.111111111111,66.1111111111111,28.7777777777778,250,121.333333333333,119.333333333333,9.33333333333333,250,8.55555555555556,12.1111111111111,3.55555555555556,1.11111111111111
"27",27,250,250,145.888888888889,71.2222222222222,32.8888888888889,250,108.111111111111,132,9.88888888888889,250,9.22222222222222,13.2222222222222,4.11111111111111,0.555555555555555
"28",28,250,250,137.777777777778,74.8888888888889,37.3333333333333,250,97.4444444444444,141.444444444444,11.1111111111111,250,8.11111111111111,10.6666666666667,4.44444444444444,1.22222222222222
"29",29,250,250,129.777777777778,79.2222222222222,41,250,89.5555555555556,148.111111111111,12.3333333333333,250,8,7.88888888888889,3.66666666666667,1.22222222222222
"30",30,250,250,120.111111111111,84.3333333333333,45.5555555555556,250,80.7777777777778,154.888888888889,14.3333333333333,250,9.66666666666667,8.77777777777778,4.55555555555556,2
"31",31,250,250,110.777777777778,89.3333333333333,49.8888888888889,250,71.6666666666667,161.888888888889,16.4444444444444,250,9.33333333333333,9.11111111111111,4.33333333333333,2.11111111111111
"32",32,250,250,102.888888888889,92.2222222222222,54.8888888888889,250,63.6666666666667,168.111111111111,18.2222222222222,250,7.88888888888889,8,5,1.77777777777778
"33",33,250,250,94.6666666666667,95.5555555555555,59.7777777777778,250,55.4444444444444,174.555555555556,20,250,8.22222222222222,8.22222222222222,4.88888888888889,1.77777777777778
"34",34,250,250,85.5555555555555,99.7777777777778,64.6666666666667,250,49.1111111111111,178.666666666667,22.2222222222222,250,9.11111111111111,6.33333333333333,4.88888888888889,2.22222222222222
